Table 1
Product/Service Name,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account
Additional IP,,,Service,2,Web Hosting,,,
Additional RAM (1GB),,,Service,25,Web Hosting,,,
Backups/Snapshots,Backups/Snapshots,,Service,10,Managed Servers,,,
Business Email (up to 5 users),Business Email,,Service,15,Email Hosting,,,
credit,,,Service,0,Web Hosting,,,
Dedicated Server A,,,Service,249.95,Managed Servers,,,
Dedicated Server B,,,Service,349.95,Managed Servers,,,
Dedicated Server C,,,Service,549.95,Managed Servers,,,
DNS,DNS,,Service,10,Web Hosting,,,
DNS Management/Rapid Domain,,,Service,75,Web Hosting,,,
Domain Name Registration,Annual Domain Name Registration Fee ($25/year);,,Service,25,Domain Name Registrations,,,
Exchange Premium,Exchange Premium,,Service,21.65,Email Hosting,,,
Extra Disc Space 10 GB,,,Service,10,Web Hosting,,,
Hosted Exchange Server,,,Service,8.95,Email Hosting,,,
HTML programming,,,Service,0,Web Programming,,,
Late Fee,,,Service,25,Web Hosting,,,
migration,,,Service,0,Managed Servers,,,
Phone Line,,,Service,5,Uncategorized Income {23},,,
Plesk 10 Domain License,Plesk 10 Domain License,,Service,20,Managed Servers,,,
Plesk 100 Domain License,,,Service,19.95,Web Hosting,,,
Plesk 3 Domain License - FREE,Plesk 3 Domain License - FREE,,Service,0,Web Hosting,,,
Plesk 30 Domain License,Plesk 30 Domain License,,Service,33,Managed Servers,,,
Plesk Unlimited Domain License,Plesk Unlimited Domain License,,Service,70,Web Hosting,,,
PmntDiscount_Bad Debt,,,Service,,Bad Debt,,,
PmntDiscount_Server Management Fees,,,Service,,Server Management Fees,,,
PmntDiscount_Uncategorized Expenses,,,Service,,Uncategorized Expenses,,,
PmntDiscount_Uncategorized Income {23},,,Service,,Uncategorized Income {23},,,
pointer,,,Service,2,Web Hosting,,,
POP Accts,,,Service,2,Web Hosting,,,
Programming,,,Service,0,Web Programming,,,
Remote Cloud Backups,,,Service,20,Web Hosting,,,
script installation,,,Service,75,Web Programming,,,
SEO Hosting,,,Service,199.95,Web Hosting,,,
Services,,,Service,,Services,,,
SET UP,,,Service,25,Web Hosting,,,
Shared Cloud Server,,,Service,75,Web Hosting,,,
Shared Server A,,,Service,14.95,Web Hosting,,,
Shared Server B,,,Service,24.95,Web Hosting,,,
Shared Server C,,,Service,34.95,Web Hosting,,,
SSL Certification,,,Service,249.95,Web Hosting,,,
SSL Installation and Support,SSL Installation and Support Annual Fee,,Service,99,Web Hosting,,,
Virtuozzo 10 Container License,,,Service,144,Managed Servers,,,
VPS A,,,Service,49.95,Managed Servers,,,
VPS B,,,Service,74.95,Managed Servers,,,
VPS C,,,Service,149.95,Managed Servers,,,
Web Application Firewall,,,Service,29.95,Managed Servers,,,
windows server,,,Service,24.42,Managed Servers,,,
